,ME8,ME12,ME11,ME2,ME7,ME5,ME9,ME14,ME4,ME13,ME1,ME6,ME10,ME3,ME15
X911285H02,-0.043758573,-0.026726174,0.141094475,-0.124957762,-0.053447682,0.030353456,0.187982882,-0.047628117,0.236320364,0.2711565,-0.01204296,0.199101281,0.144116474,-0.204808179,0.025276075
X916699.H02,0.338442928,0.101963507,0.096932168,-0.062070743,-0.174729876,0.035450113,0.031998792,0.031235335,-0.075663386,0.120380892,-0.12410469,-0.114123571,-0.203648433,-0.143743792,-0.043713177
X927830.H09,0.103058555,-0.075700183,0.098875183,0.356651178,0.166131871,-0.085538324,-0.188226274,-0.129449745,-0.193787685,-0.155221408,-0.248870353,-0.246518134,-0.049271182,-0.186088052,-0.185819553
X935812.H02,-0.019177656,0.045080143,0.048248735,-0.043631781,-0.001149459,-0.203660915,-0.025142457,-0.00726412,0.213563611,0.153592764,0.047413202,0.232870411,0.186814663,0.115461053,-0.178839719
X927320.H03,-0.346638273,0.070662216,0.147925834,0.135849624,0.142140182,-0.104806347,-0.159838848,-0.148289903,0.315655573,-0.056571377,-0.077182355,-0.02892084,0.115417552,0.221530185,0.054331557
X925497.H04,-0.050305476,0.322418821,0.222872265,0.107500325,0.275714635,-0.288402952,-0.196812757,-0.041689612,0.344541569,0.13297684,0.128721979,0.065949525,0.213357681,-0.159202342,-0.135057198
X940641.H08,-0.158785286,-0.142968161,-0.113174524,-0.206915522,-0.194063535,0.278709134,0.311570677,-0.149160593,0.144128898,0.201044084,-0.025299619,0.133291077,0.047619813,0.258090138,0.099968817
X923866.H03,0.039210845,-0.065583702,0.080725041,0.043911584,0.061009746,-0.134462525,-0.16648045,-0.080161689,0.21072435,0.005775267,0.028446691,-0.067962634,-0.010069795,-0.027755884,0.373851558
X925494.H03,0.053854878,0.61849849,-0.049040714,0.05192285,-0.025342577,-0.150270284,-0.146833288,-0.065481379,0.153201601,-0.016491062,0.011807442,-0.042276377,-0.048658947,-0.053552634,0.225680504
X949796.H03,0.037743229,-0.058392217,-0.08309356,0.109011284,0.120844021,-0.083765595,-0.056424912,-0.10591307,-0.103343561,-0.042308489,0.027817654,0.090916902,0.130936197,-0.031950534,-0.118470454
X940643.H02,-0.153753999,-0.004383716,0.018148603,0.146252976,0.327120199,-0.254419259,-0.186528092,-0.03013882,-0.064381051,-0.175444368,0.163833161,0.184762387,0.275303608,-0.101815238,0.124535194
X926985.H04,-0.042023918,-0.113632321,-0.163104818,-0.134743718,-0.261342868,-0.062436295,0.038641254,-0.059301015,-0.101062619,0.034003011,0.073215545,-0.024659312,-0.213831163,0.443736188,0.170623386
X931867.H04,0.000446195,0.006846222,-0.097259968,0.030584631,0.019142887,-0.209889597,-0.145573612,-0.054585367,-0.125778439,-0.088474225,0.157048003,0.156354209,0.109876782,0.041528032,-0.010276049
X931874.H03,-0.089560961,0.079089819,-0.191719493,-0.025865458,0.048984156,-0.143162653,-0.036153233,-0.124956029,-0.053386069,-0.003378901,0.187783686,0.216299767,0.152885954,-0.063502158,-0.042607545
X929495.H04,-0.204867336,-0.027565914,-0.132791971,-0.004046272,0.064070436,0.036172752,-0.080979292,-0.104877621,-0.111755434,-0.152322761,0.123533142,0.050159767,0.023997455,0.080569378,-0.061474451
X947786.H03,-0.110072239,-0.039421395,-0.137165724,-0.082539276,0.001108248,-0.071973892,0.005514062,-0.06402918,0.135372151,0.062831355,0.184915401,0.1983955,0.176164618,-0.039668568,0.016705512
X949716.H02,-0.096046319,-0.110186644,-0.146916176,-0.022281843,-0.15875616,0.277832704,-0.200686894,-0.226627156,-0.273988524,-0.408185289,0.003843148,-0.254332839,-0.308751298,0.239488423,0.352383703
X947788.H04,-0.078270094,-0.110862139,-0.263046569,-0.123405645,-0.110962278,0.168734665,0.161756414,-0.044536382,-0.169840424,-0.009627843,0.082531883,0.116653493,-0.018664774,-0.071505573,-0.064785617
X921893.H05,-0.223406637,-0.062872361,-0.391256199,-0.28059668,-0.14287784,0.22082342,0.377461545,0.458006879,-0.00623216,0.178910634,0.046360853,0.277061832,0.162014848,0.041863116,-0.173744119
