libId,CATEGORY,TOTAL_READS,PF_READS,PCT_PF_READS,PF_NOISE_READS,PF_READS_ALIGNED,PCT_PF_READS_ALIGNED,PF_ALIGNED_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_HQ_MEDIAN_MISMATCHES,PF_MISMATCH_RATE,PF_HQ_ERROR_RATE,PF_INDEL_RATE,MEAN_READ_LENGTH,READS_ALIGNED_IN_PAIRS,PCT_READS_ALIGNED_IN_PAIRS,BAD_CYCLES,STRAND_BALANCE,PCT_CHIMERAS,PCT_ADAPTER,SAMPLE,LIBRARY,READ_GROUP,PF_BASES,PF_ALIGNED_BASES,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,SAMPLE,LIBRARY,READ_GROUP,fastq_total_reads,reads_aligned_sam,aligned,reads_with_mult_align,algn_seg_with_mult_algn,no_feature,ambiguous,too_low_aQual,not_aligned,alignment_not_unique,LIBRARY,UNPAIRED_READS_EXAMINED,READ_PAIRS_EXAMINED,UNMAPPED_READS,UNPAIRED_READ_DUPLICATES,READ_PAIR_DUPLICATES,READ_PAIR_OPTICAL_DUPLICATES,PERCENT_DUPLICATION,ESTIMATED_LIBRARY_SIZE,mapped_reads_w_dups
lib1500_D26PLACXX,UNPAIRED,13626424,13626424,1,0,13626424,1,634055910,12082450,566119799,560335601,0,0.007533,0.004645,0.000043,49.598142,0,0,0,0.499603,0,0,,,,675845317,675823844,4859825,278280102,294840569,71512891,26330914,0,4020732,3889987,0.007191,0.411764,0.436268,0.105816,0.038961,0.848033,0.848006,0.508264,0.482873,0.479635,0.63233,0.67705,,,,14615330,13626427,93.2%,1543975,11.3%,1406893,612725,0,0,5730202,Unknown Library,13626424,0,0,7214839,0,0,0.529474,,0.932338
lib1503_D26PLACXX,UNPAIRED,11896239,11896239,1,0,11896239,1,556096064,9987583,470518723,465630170,0,0.009276,0.004854,0.000043,49.571854,0,0,0,0.499955,0,0,,,,589718618,589699532,2858250,263537484,275834524,25472875,21996605,0,3724278,3708247,0.004847,0.446901,0.467754,0.043196,0.037301,0.914656,0.914626,0.501078,0.509937,0.487848,0.646952,0.696609,,,,12551094,11896242,94.8%,1908657,16.0%,384881,598257,0,0,7307210,Unknown Library,11896239,0,0,5821824,0,0,0.489384,,0.947825
lib1504_D26PLACXX,UNPAIRED,10319922,10319922,1,0,10319922,1,480826219,8849397,415121189,410761939,0,0.008038,0.005024,0.000044,49.568207,0,0,0,0.499594,0,0,,,,511540032,511523866,3432415,216879396,243097508,30260382,17854439,0,3201380,3149910,0.00671,0.423987,0.475242,0.059157,0.034904,0.899229,0.8992,0.504052,0.537129,0.43573,0.655925,0.608376,,,,11056145,10319925,93.3%,1470526,14.2%,536726,521668,0,0,5337222,Unknown Library,10319922,0,0,5012161,0,0,0.485678,,0.933411
lib1505_D26PLACXX,UNPAIRED,11694360,11694360,1,0,11694360,1,546876078,9988123,470071239,465278438,0,0.007686,0.004785,0.000048,49.594733,0,0,0,0.500452,0,0,,,,579978662,579957923,3783522,241142847,287819981,27701110,19510779,0,3652373,3543999,0.006524,0.415794,0.496277,0.047764,0.033642,0.912071,0.912038,0.50753,0.555187,0.413818,0.661327,0.571381,,,,12483761,11694363,93.7%,1706238,14.6%,467456,620838,0,0,6185623,Unknown Library,11694360,0,0,6425632,0,0,0.549464,,0.936766
lib1513_D27JJACXX,UNPAIRED,10950443,10950443,1,0,10950443,1,510885790,9369305,440812377,436519038,0,0.009393,0.004488,0.000045,49.695108,0,0,0,0.499989,0,0,,,,544183452,544165377,3044625,242081924,248707566,29157429,21174075,0,3396219,3380061,0.005595,0.444868,0.457044,0.053582,0.038911,0.901912,0.901882,0.501192,0.504689,0.499703,0.667238,0.681709,,,,11550710,10950446,94.8%,1581139,14.4%,475606,573828,0,0,6182358,Unknown Library,10950443,0,0,5261562,0,0,0.480489,,0.948032
lib1516_D27JJACXX,UNPAIRED,12610265,12610265,1,0,12610265,1,584167294,10908511,509164485,504643780,0,0.008412,0.004845,0.000045,49.738147,0,0,0,0.499366,0,0,,,,627211210,627191353,6510354,261914650,294433443,40835862,23497568,0,3883306,3722612,0.01038,0.417599,0.469448,0.065109,0.037465,0.887047,0.887019,0.510564,0.537113,0.419445,0.635845,0.624548,,,,13550125,12610268,93.1%,1701755,13.5%,729637,612333,0,0,6349070,Unknown Library,12610265,0,0,8005317,0,0,0.634825,,0.930638
lib1517_D27JJACXX,UNPAIRED,12798489,12798489,1,0,12798489,1,597611996,10907552,514796605,510118164,0,0.011608,0.004134,0.000043,49.719748,0,0,0,0.500605,0,0,,,,636337644,636317362,2684204,291248348,277872682,33962213,30550141,0,4032568,3851667,0.004218,0.457709,0.436689,0.053373,0.048011,0.894398,0.89437,0.511472,0.487466,0.4894,0.647462,0.723062,,,,13721338,12798492,93.3%,1890938,14.8%,531962,585421,0,0,8166981,Unknown Library,12798489,0,0,7306005,0,0,0.570849,,0.932744
lib1519_D27JJACXX,UNPAIRED,11254842,11254842,1,0,11254842,1,515932672,9666314,447532450,443232690,0,0.011088,0.005358,0.00005,49.705453,0,0,0,0.49932,0,0,,,,559427024,559406508,9612262,194920070,273766280,52615462,28493222,0,3243610,3164325,0.017183,0.348441,0.489387,0.094056,0.050935,0.837828,0.837797,0.506186,0.581663,0.338515,0.769493,0.442356,,,,12066299,11254845,93.3%,1588529,14.1%,970322,545952,0,0,6422310,Unknown Library,11254842,0,0,6142175,0,0,0.545736,,0.932750
lib1521_D27JJACXX,UNPAIRED,11885266,11885266,1,0,11885266,1,554856559,10239390,482093544,477533560,0,0.008963,0.004529,0.000046,49.707935,0,0,0,0.499713,0,0,,,,590792032,590772297,4166261,242478394,283463467,37743259,22921192,0,3637085,3570757,0.007052,0.410443,0.479818,0.063888,0.038799,0.890262,0.890232,0.504601,0.533236,0.428657,0.697285,0.585909,,,,12688254,11885269,93.7%,1645877,13.8%,646201,617567,0,0,6349447,Unknown Library,11885266,0,0,6298064,0,0,0.529905,,0.936714
lib1522_D27JJACXX,UNPAIRED,11433136,11433136,1,0,11433136,1,532957982,9875952,464515435,460227708,0,0.009537,0.004601,0.000047,49.724853,0,0,0,0.50002,0,0,,,,568511004,568491857,4863896,230673887,268505833,40515777,23932911,0,3473159,3354958,0.008556,0.405765,0.472313,0.071269,0.042099,0.878077,0.878048,0.508655,0.52986,0.433046,0.655032,0.640885,,,,12239904,11433139,93.4%,1557185,13.6%,715269,565626,0,0,6159921,Unknown Library,11433136,0,0,6074138,0,0,0.531275,,0.934087
