"Symbol","ensgene","entrez","CV","BCV","AveLogCPM","TrendCV"
"TSPAN6","ENSG00000000003",7105,0.502327320782012,0.251192641835908,0.157324073747504,0.214073191531582
"HS3ST1","ENSG00000002587",9957,0.431285241088815,0.264118766267704,0.925749056514088,0.165545268542185
"AOC1","ENSG00000002726",26,0.334041767370319,0.148660851199636,1.67821595957674,0.130063853744003
"WNT16","ENSG00000002745",51384,0.392274042853443,0.230364819105572,0.525773873219466,0.189830813817183
"KLHL13","ENSG00000003096",90293,0.313125973892386,0.0266445240044617,0.170963524722238,0.213156192035694
"CYP26B1","ENSG00000003137",56603,0.641615140725581,0.0181714820977784,1.31026966353635,0.145371856782227
"TFPI","ENSG00000003436",7035,0.507729714389908,0.290042878545033,0.430022714301059,0.196002198644807
"SLC22A16","ENSG00000004809",85413,0.449459501025644,0.162476690232782,0.323384704474504,0.202993741944844
"AC004381.6","ENSG00000005189",81691,0.329406686020498,0.145918109244831,0.564846710596815,0.187345713827373
"COPZ2","ENSG00000005243",51226,0.396562847087466,0.246526246926733,0.720751357601763,0.177651680489343
"ABCB4","ENSG00000005471",5244,0.380659233132479,0.217144546984051,1.28909686989618,0.146381791872207
"SOX8","ENSG00000005513",30812,0.320812027913523,0.164080831866486,1.36333442080019,0.142898188707522
"PRSS21","ENSG00000007038",10942,0.678312164861909,0.169952646170974,0.799536911259194,0.172904931102274
"SCN4A","ENSG00000007314",6329,0.552607462373935,0.28494937406762,-0.0950220219529074,0.231168975055573
"MASP2","ENSG00000009724",10747,0.366057775255161,0.249434881280635,1.68038406304228,0.129987288534929
"GIPR","ENSG00000010310",2696,0.342743466924177,0.221856178888341,2.25158874253618,0.115177087899854
"ZBTB32","ENSG00000011590",27033,0.342775765940196,0.164259928619448,1.04894452892054,0.158686083738925
"SEMA3B","ENSG00000012171",7869,0.316522324245125,0.219483943848921,0.611157537581232,0.184427642733221
"MAMLD1","ENSG00000013619",10046,0.410426171998637,0.196036966129881,0.21770830324728,0.210021945948559
"WWTR1","ENSG00000018408",25937,0.396950311513385,0.164151638065718,0.645480830341053,0.182285199444305
